,date,doy,r.av,g.av,b.av,r.sd,g.sd,b.sd,bri.av,bri.sd,gi.av,gi.sd,gei.av,gei.sd,ri.av,ri.sd,bi.av,bi.sd
25,05/04/2021 08:00,95,122.9778844,117.5486325,117.8480279,46.43668923,45.59223197,43.54038507,358.3745448,134.1087071,0.325948332,0.017160046,-5.728647173,13.05535307,0.34195028,0.027699659,0.332101388,0.028519404
26,05/04/2021 09:00,95,118.7442582,113.6590223,118.9203316,47.98129523,48.70023619,47.11150956,351.3236121,142.3994755,0.319265022,0.021322502,-10.34654508,14.15637641,0.338134676,0.027441291,0.342600302,0.029177443
27,06/04/2021 08:00,96,116.7273463,110.2180665,111.2323081,44.5370785,44.05251098,41.07915603,338.1777209,127.8484399,0.322307069,0.019700929,-7.523521382,13.2714179,0.345340011,0.030098636,0.33235292,0.032521285
28,06/04/2021 09:00,96,129.7462652,126.3186652,130.5569387,40.30688552,40.79798944,39.81487849,386.6218691,119.6758806,0.325182746,0.012394107,-7.665873563,10.99463836,0.335400186,0.019137798,0.339417068,0.020151372
29,07/04/2021 08:00,97,125.48226,119.0348039,119.985232,41.367152,44.71529779,44.83737523,364.5022959,129.9933265,0.324407059,0.012736263,-7.397884295,10.26148239,0.347882971,0.021704046,0.32770997,0.020036732
30,07/04/2021 09:00,97,122.9368584,116.0750425,116.4505672,41.11712638,42.9900822,42.63496128,355.4624681,125.4569602,0.324653873,0.013462613,-7.237340648,11.14959639,0.34792714,0.022380603,0.327418987,0.023681504
31,08/04/2021 08:00,98,119.9489561,115.1350944,118.3633629,47.45252917,46.90923089,42.96751694,353.4474134,135.9303906,0.32124563,0.021807778,-8.042130083,13.27642028,0.336375998,0.029996076,0.342378373,0.03618881
32,08/04/2021 09:00,98,118.5205986,114.2795777,119.2969861,48.15879304,48.93281007,46.71066318,352.0971624,142.457017,0.319813573,0.021410958,-9.258429226,13.23936912,0.336272517,0.027650829,0.34391391,0.031679393
33,09/04/2021 08:00,99,126.3819609,124.3717247,127.1311061,41.18362536,41.3289324,39.14095189,377.8847917,120.4559681,0.327343073,0.012795974,-4.769617556,10.76464933,0.333288981,0.020071919,0.339367946,0.022982678
34,09/04/2021 09:00,99,125.4303388,120.3886709,121.5207612,41.72745771,42.46155359,41.42487268,367.3397709,124.2938751,0.325783364,0.014831611,-6.173758243,11.98329616,0.342499074,0.022097972,0.331717561,0.021776315
35,10/04/2021 08:00,100,133.1085925,129.0748071,129.8291431,38.60871458,39.34175382,38.46885672,392.0125427,115.3419648,0.328162259,0.010646616,-4.788121413,9.950816112,0.34001502,0.017452554,0.33182272,0.017212661
36,10/04/2021 09:00,100,135.1533116,129.6298501,130.3221871,37.64531649,38.93097501,38.19617195,395.1053487,113.6922453,0.326786548,0.010948471,-6.21579846,10.17721562,0.343244198,0.017344288,0.329969254,0.016872031
37,11/04/2021 08:00,101,125.6644614,120.941326,120.6727077,44.53074611,44.72313505,42.83398843,367.278495,130.738094,0.327230239,0.016408405,-4.454517055,13.05045787,0.342439617,0.023264014,0.330330143,0.023954906
38,11/04/2021 09:00,101,131.6234054,127.3995361,128.8566679,43.00959502,43.30783014,42.10077132,387.8796094,127.1387357,0.326902075,0.013769895,-5.681001023,12.19400345,0.33946219,0.020717092,0.333635735,0.020781991
39,12/04/2021 08:00,102,141.1884706,138.2057506,138.5513285,37.24587047,37.7754249,36.90688656,417.9455497,110.7340414,0.329914866,0.009556575,-3.328297979,9.922322619,0.337954675,0.016413174,0.332130459,0.016934635
