"","rcc","gcc","bcc","brt","max.filtered","date"
"1",0.345659655095576,0.323750499972367,0.330589844932057,411.904396295325,0.324988733282308,2021-03-24
"2",0.34358736398315,0.323831172790629,0.332581463226221,408.441718229745,0.325963825717449,2021-03-25
"3",0.344095295545411,0.324787717527512,0.331116986927078,408.941300009253,0.327233337511683,2021-03-26
"4",0.328684743100774,0.327233337511683,0.344081919387544,428.601142013587,0.327260509182811,2021-03-27
"5",0.342735826088218,0.324164744620186,0.333099429291596,416.220395266468,0.326844746198362,2021-03-28
"6",0.345591734838673,0.325011395160101,0.329396870001226,408.013677762526,0.326401811542785,2021-03-29
"7",0.347040065848187,0.325221743279031,0.327738190872781,406.152189814378,0.32627602825831,2021-03-30
"8",0.344343637115952,0.32547532301848,0.330181039865568,404.148986664199,0.32632902759598,2021-03-31
"9",0.346477078103674,0.323938930812706,0.32958399108362,407.692129022436,0.326700190019958,2021-04-01
"10",0.350587119047578,0.326700190019958,0.322712690932464,413.78335782385,0.326700190019958,2021-04-02
"11",0.353414379952941,0.325278107024892,0.321307513022166,405.703718795106,0.326312940803765,2021-04-03
"12",0.349727741520351,0.324661705186755,0.325610553292895,407.856336733709,0.325458621768513,2021-04-04
"13",0.348169771122234,0.324704243328516,0.32712598554925,408.260860787188,0.325675652388405,2021-04-05
"14",0.346526453383735,0.325597493131731,0.327876053484534,418.091891502626,0.325636572760068,2021-04-06
"15",0.343143480182483,0.324615061304832,0.332241458512685,418.265471116329,0.326193836007508,2021-04-07
"16",0.34559534099475,0.324831806866223,0.329572852139028,412.280116332076,0.32739542504145,2021-04-08
"17",0.340740738818091,0.327227930007775,0.332031331174134,428.37876967907,0.327562920075125,2021-04-09
"18",0.338586660214855,0.327092430545193,0.334320909239952,437.017232353741,0.327572899273219,2021-04-10
"19",0.344498788538054,0.326494900120194,0.329006311341752,417.919816831875,0.327427536927467,2021-04-11
"20",0.340068178161771,0.327085476262276,0.332846345575953,435.019185794312,0.327178835822949,2021-04-12
"21",0.342162857702824,0.324297594479009,0.333539547818167,417.290902629045,0.326564642781615,2021-04-13
"22",0.347454935425994,0.324463858587879,0.328081205986127,412.61097613738,0.325544040374436,2021-04-14
"23",0.348220848919438,0.325544040374436,0.326235110706126,419.44057618786,0.325544040374436,2021-04-15
"24",0.347361259821667,0.324014440354083,0.32862429982425,414.173365834555,0.325464337604583,2021-04-16
"25",0.351375314827477,0.32372750132555,0.324897183846973,415.759194413389,0.325861610522619,2021-04-17
"26",0.351351229718331,0.325861610522619,0.32278715975905,421.165018544033,0.325861610522619,2021-04-18
"27",0.352357423421668,0.324410158126837,0.323232418451495,413.106593169651,0.325898277527735,2021-04-19
"28",0.351095144246576,0.323434108665995,0.325470747087429,405.266641313111,0.325532756198584,2021-04-20
"29",0.351041552056205,0.325532756198584,0.323425691745212,419.960596583891,0.325532756198584,2021-04-21
"30",0.352657264260398,0.324494715441866,0.322848020297736,405.179208329549,0.326239701404846,2021-04-22
"31",0.356338597119414,0.325287180191015,0.318374222689571,402.236559290395,0.329430704256508,2021-04-23
"32",0.361230750296677,0.328789102401055,0.309980147302268,400.703597120673,0.332078559457123,2021-04-24
"33",0.368292041354797,0.330634438518141,0.301073520127062,396.147968418977,0.335876243719901,2021-04-25
"34",0.353342164364346,0.335876243719901,0.310781591915753,428.345724600958,0.337473355978875,2021-04-26
"35",0.357682135290028,0.333802888340815,0.308514976369157,419.344296765639,0.340160603470047,2021-04-27
"36",0.368249856165094,0.340160603470047,0.29158954036486,414.295118506653,0.34217373685788,2021-04-28
"37",0.357922528105925,0.338929953461655,0.30314751843242,381.730037257843,0.343619564973532,2021-04-29
"38",0.384063288287786,0.343487836702652,0.272448875009562,383.133614514459,0.343900109884213,2021-04-30
"39",0.363633452949639,0.3375696690527,0.298796877997661,399.665305610804,0.344180654794895,2021-05-01
"40",0.386947419316353,0.342719763326895,0.270332817356752,386.501401519686,0.343016709109105,2021-05-02
"41",0.384583064012145,0.340641479263258,0.274775456724597,381.144883830628,0.346341941621525,2021-05-03
"42",0.376575409778778,0.343575792033362,0.27984879818786,392.847248361003,0.351410628117615,2021-05-04
"43",0.379072395586244,0.351410628117615,0.269516976296141,391.919887855788,0.351410628117615,2021-05-05
"44",0.367609078447053,0.343513760962051,0.288877160590896,400.695624474218,0.35109975427107,2021-05-06
"45",0.353682901222574,0.338498528104616,0.307818570672809,423.462152743292,0.357445057787382,2021-05-07
"46",0.391540518999432,0.355184657231378,0.25327482376919,367.516175342479,0.362728874088739,2021-05-08
"47",0.393687329486068,0.362728874088739,0.243583796425193,353.570397572623,0.371649274208082,2021-05-09
"48",0.390066168619968,0.369258086944368,0.240675744435664,370.086786411286,0.374413834283669,2021-05-10
"49",0.37338946166196,0.360695293445864,0.265915244892176,390.447590577419,0.377617897866468,2021-05-11
"50",0.417600679304217,0.375519769787016,0.206879550908767,338.84500856107,0.379705758226403,2021-05-12
"51",0.387727770149232,0.36914528120677,0.243126948643998,368.287758901263,0.390230287787017,2021-05-13
"52",0.424331941366317,0.390230287787017,0.185437770846666,322.106288417641,0.390230287787017,2021-05-14
"53",0.371657636210384,0.359540283848627,0.268802079940989,386.05352500735,0.385205959936461,2021-05-15
"54",0.374374249907534,0.367742951718411,0.257882798374055,400.021427716473,0.377678027989384,2021-05-16
"55",0.370401630089744,0.36023984067985,0.269358529230406,401.476824840599,0.394487721532668,2021-05-17
"56",0.433704388294229,0.394487721532668,0.171807890173103,333.04641653233,0.394487721532668,2021-05-18
